countyName,pop2010,pctfor,turnout,medage,divorced,churches,obama08,mccain08,pctrural,edu_baorup,medinc,col_enrol,age18-24,age25-59,age60up,colleges,students,white,black,popden,pctw,pctb,pctd,churchden,pctba,pctstud,pct18-24,pct25-59,pct60up,colden,pctcolenrol,MaleBachelor,MaleMaster,MaleProfessional,MaleDoctorate,FemaleBachelor,FemaleMaster,FemaleProfessional,FemaleDoctorate,pctmb,pctmm,pctmp,pctmd,pctfb,pctfm,pctfp,pctfd,Owneroccupied,Renteroccupied,pctown,pctrent,evanrate
alamance,151533,64.04296,32.59,38.74,7430,355,45,54,28.56,20844,44167,10315,16039,69171,30865,2,9532,107420,28369,351.584687,0.708888493,0.187213346,0.049032224,0.002342724,0.137554196,0.06290379,0.105844931,0.456474827,0.203685006,1.32E-05,0.068070981,6967,1876,893,384,7292,2494,469,469,0.045976784,0.012380142,0.005893106,0.002534101,0.048121531,0.016458461,0.003095035,0.003095035,40155,18845,0.264991784,0.12436235,219.55
alexander,37240,85.989334,46.81,40.9,1449,105,30,69,72.78,3003,40014,1478,2685,17965,8160,0,0,33324,2043,143.230769,0.894844253,0.054860365,0.038909774,0.002819549,0.080639098,0,0.072099893,0.482411386,0.219119227,0,0.039688507,964,247,107,80,1122,371,60,52,0.025886144,0.006632653,0.002873255,0.002148228,0.030128894,0.009962406,0.001611171,0.001396348,10728,2691,0.288077336,0.07226101,448.84
alleghany,11160,78.06012,44.93,45.94,551,37,39,60,100,1301,30845,425,770,4944,3220,0,0,10288,140,47.489362,0.921863799,0.012544803,0.04937276,0.003315412,0.116577061,0,0.068996416,0.443010753,0.288530466,0,0.038082437,509,101,37,41,388,167,38,20,0.045609319,0.009050179,0.003315412,0.003673835,0.034767025,0.014964158,0.003405018,0.001792115,3678,1293,0.329569892,0.115860215,307.75
anson,26910,69.579865,33.43,39.59,1042,154,60,39,78.51,1550,34745,923,2380,13038,5568,1,1967,12707,13090,50.582707,0.472203642,0.486436269,0.038721665,0.00572278,0.057599405,0.073095504,0.088442958,0.484503902,0.206911929,3.72E-05,0.034299517,421,46,35,19,715,261,30,23,0.015644742,0.001709402,0.001300632,0.000706057,0.026570048,0.009698997,0.001114827,0.000854701,6772,2763,0.25165366,0.102675585,305.77
ashe,27305,77.16225,43.21,45.56,1154,96,38,61,84.86,3392,34538,1068,1777,12588,7647,0,0,26050,161,64.096244,0.954037722,0.005896356,0.042263322,0.00351584,0.124226332,0,0.065079656,0.461014466,0.280058597,0,0.039113715,963,395,166,164,1222,398,43,41,0.035268266,0.014466215,0.006079473,0.006006226,0.044753708,0.014576085,0.001574803,0.001501556,9379,2469,0.343490203,0.090422999,357.17
avery,17767,80.89546,45.46,42.41,618,68,28,72,88.78,2653,34918,1323,1745,8619,4358,2,2385,16364,709,71.931174,0.921033376,0.039905443,0.034783588,0.00382732,0.149321776,0.134237632,0.098215793,0.48511285,0.245286205,0.000112568,0.074463894,929,200,151,63,943,298,22,47,0.05228795,0.011256824,0.008498902,0.0035459,0.053075927,0.016772668,0.001238251,0.002645354,5235,1959,0.29464738,0.110260595,320.90
beaufort,47783,70.95006,37.06,43.81,1896,237,41,59,65.6,6295,40653,2245,3413,21244,12623,1,1461,32551,12223,57.708937,0.68122554,0.255802273,0.039679384,0.004959923,0.131741414,0.030575728,0.071427077,0.444593265,0.264173451,2.09E-05,0.046983237,1990,669,243,67,2226,974,90,36,0.041646611,0.014000795,0.005085491,0.001402172,0.046585606,0.020383819,0.001883515,0.000753406,14728,5331,0.308226775,0.111566875,328.27
bertie,21237,73.111206,34.54,42.9,1071,104,65,35,83.24,1474,29110,617,1829,10000,5012,0,0,7488,13296,30.381974,0.352592174,0.62607713,0.050430852,0.004897114,0.069407167,0,0.086123275,0.470876301,0.236003202,0,0.029053068,439,115,16,8,624,219,16,37,0.02067147,0.005415077,0.000753402,0.000376701,0.029382681,0.010312191,0.000753402,0.001742242,6277,1883,0.295569054,0.088666007,279.11
bladen,35205,83.271545,42.23,41.34,1514,162,51,49,91.23,2284,30471,1901,2792,16331,8008,1,1468,19806,12268,40.234286,0.562590541,0.348473228,0.043005255,0.004601619,0.064877148,0.041698622,0.079306917,0.463882971,0.227467689,2.84E-05,0.053998012,586,136,46,30,1134,264,78,10,0.016645363,0.003863088,0.001306633,0.000852152,0.032211334,0.007498935,0.002215594,0.000284051,9647,4327,0.274023576,0.122908678,307.70
brunswick,108071,64.62877,31.88,47.55,4798,238,41,59,42.96,17808,45806,3461,6657,46917,34296,1,1033,89193,12291,126.39883,0.825318541,0.113730788,0.044396739,0.002202256,0.164780561,0.009558531,0.061598394,0.434131266,0.317346929,9.25E-06,0.032025243,5797,2220,488,209,6263,2376,256,199,0.053640662,0.020542051,0.00451555,0.001933914,0.057952642,0.021985547,0.002368813,0.001841382,35183,10226,0.325554497,0.094622979,177.99
