Year,Women,Men
1998,25,26.7
1997,25,26.8
1996,24.8,27.1
1995,24.5,26.9
1994,24.5,26.7
1993,24.5,26.5
1992,24.4,26.5
1991,24.1,26.3
1990,23.9,26.1
1989,23.8,26.2
1988,23.6,25.9
1987,23.6,25.8
1986,23.1,25.7
1985,23.3,25.5
1984,23,25.4
1983,22.8,25.4
1982,22.5,25.2
1981,22.3,24.8
1980,22,24.7
1979,22.1,24.4
1978,21.8,24.2
1977,21.6,24
1976,21.3,23.8
1975,21.1,23.5
1974,21.1,23.1
1973,21,23.2
1972,20.9,23.3
1971,20.9,23.1
1970,20.8,23.2
1969,20.8,23.2
1968,20.8,23.1
1967,20.6,23.1
1966,20.5,22.8
1965,20.6,22.8
1964,20.5,23.1
1963,20.5,22.8
1962,20.3,22.7
1961,20.3,22.8
1960,20.3,22.8
1959,20.2,22.5
1958,20.2,22.6
1957,20.3,22.6
1956,20.1,22.5
1955,20.2,22.6
1954,20.3,23
1953,20.2,22.8
1952,20.2,23
1951,20.4,22.9
1950,20.3,22.8
1949,20.3,22.7
1948,20.4,23.3
1947,20.5,23.7
1940,21.5,24.3
1930,21.3,24.3
1920,21.2,24.6
1910,21.6,25.1
1900,21.9,25.9
1890,22,26.1
